date,event_name
2024-08-02,Yen Carry Trade Unwind Day 1
2024-08-05,Yen Carry Trade Unwind Day 2
2024-09-20,Fed Rate Cut September
2024-12-20,Fed Hawkish Surprise December
2025-01-16,Trump Inauguration Volatility
2025-01-31,DeepSeek AI Shock
2025-02-28,Tariff Fear Selloff February
2025-03-10,Tech Correction March Day 1
2025-03-11,Tech Correction March Day 2
2025-03-13,Tech Correction March Day 3
2025-04-03,Liberation Day Tariff Crash
2025-04-04,Tariff Crash Day 2
2025-04-07,Tariff Crash Day 3
2025-04-08,Tariff Crash Day 4
2025-04-09,Tariff Rebound Spike
2025-08-01,Summer Selloff August
